Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SHOW FULL TABLES FROM `shopeaze`,,8,0,0,20536.90,5352.30,2567.10,13,2.0,55,7.0,0,0,13,0,924f69cf6ae0dd30fe7b6bf6f364b03780fa8f14e62d6567c502a5b3168fb35e
EXPLAIN `shopeaze` . `customer`,,11,1,0,20510.30,3443.30,1864.50,40,4.0,220,20.0,10,0,40,0,914f777b4813daa8d95e4f6e072cb19e66753f59e3ddc4fd24cf000d9086d55f
"SELECT CONSTRAINT_NAME CONSTRAINT_NAME , `TABLE_SCHEMA` `table_schema` , TABLE_NAME TABLE_NAME , COLUMN_NAME COLUMN_NAME , `REFERENCED_TABLE_SCHEMA` `referenced_schema` , `REFERENCED_TABLE_NAME` `referenced_table` , `REFERENCED_COLUMN_NAME` `referenced_column` FROM `information_schema` . `KEY_COLUMN_USAGE` WHERE `REFERENCED_TABLE_NAME` IS NOT NULL",*,1,0,0,19011.60,19011.60,19011.60,24,24.0,949,949.0,1,0,0,0,d8b87624b24b5f2abcaa935fb69c86aeb031c2c184ef97aeb82230b98d559378
SHOW TRIGGERS FROM `shopeaze` WHERE `Table` = ?,,13,0,0,18842.90,3534.50,1449.40,0,0.0,39,3.0,13,0,0,0,d64636af50a9d31de3c06c425d831c12a67622a273431a933902cc5c4a5c7b88
DROP TABLE `shopeaze` . `combined_table`,,1,0,0,18827.10,18827.10,18827.10,0,0.0,0,0.0,0,0,0,0,3fc2c515acd87781223807dbe928684b1aac033399976ea4f5ddf2a979b4119f
SHOW INDEXES FROM `shopeaze` . `products`,,5,0,0,18675.30,8338.30,3735.00,2,0.0,65,13.0,5,0,2,0,f36346b5516a02af909ac1b170235e741eca00aa9aebda56253caa82a3900e1f
DROP TABLE `suppliers_data`,,1,0,0,18433.80,18433.80,18433.80,0,0.0,0,0.0,0,0,0,0,0ec918508e2af5cdcbab74d68a08f65ba7fc1779a1ad55bfc3df66db4ee48f21
ALTER TABLE `orders` RENAME COLUMN `order_id` TO `id`,,1,0,0,18363.60,18363.60,18363.60,0,0.0,0,0.0,0,0,0,0,15979abe05113202a2a01d924082dfc7a62ea104739e222f5a9345c69d43125a
"CREATE TABLE `orders` ( `order_id` INT8 , `Cutomer_id` INT8 , `order_date` DATETIME , `product_id` INT8 , `quantity` INT8 , `order_sum` FLOAT4 (?) , YEAR INTEGER , SQL_TSI_MONTH INTEGER , SQL_TSI_DAY INTEGER )",,1,0,0,17801.90,17801.90,17801.90,0,0.0,0,0.0,0,0,0,0,ddecdf86c06829e0552aa846062aa72f16f33311efa48eb22d5ce7aaddbf4c24
"CREATE TABLE `products.csv` ( `customer_id` INT8 , `customer_name` TEXT , `email` TEXT , `join_date` DATETIME )",,1,0,0,16288.20,16288.20,16288.20,0,0.0,0,0.0,0,0,0,0,fc944f7121431df61fcb02fd63faf36246bf8faae2429696dca0a3a1bd13960d
SHOW PROCEDURE STATUS WHERE `Db` = ?,,8,0,0,16161.60,3558.20,2020.20,0,0.0,16,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SHOW CHARACTER SET WHERE CHARSET = ?,,26,0,0,16038.40,981.20,616.80,26,1.0,26,1.0,0,0,0,0,403e20a54ba36e995c8a9423fc5504db82d64dfefb3c9f6e0b4d3d66372ede9f
"CREATE TABLE `suppliers_data.csv` ( `customer_id` INT8 , `customer_name` TEXT , `email` TEXT , `join_date` DATETIME )",,1,0,0,15917.60,15917.60,15917.60,0,0.0,0,0.0,0,0,0,0,3a6abaf6be1b9b7a97ffc9148f5b9f48f6efbfff1f0a966ed7ef2d832f4208aa
"CREATE TABLE `inventory` ( `customer_id` INT8 , `customer_name` TEXT , `email` TEXT , `join_date` DATETIME )",,1,0,0,15880.00,15880.00,15880.00,0,0.0,0,0.0,0,0,0,0,91fb6cc439b9b42380a6624d97c56d3536925651e722f869e8cf4db9244e0b97
"CREATE TABLE `orders` ( `customer_id` INT8 , `customer_name` TEXT , `email` TEXT , `join_date` DATETIME )",,1,0,0,15855.40,15855.40,15855.40,0,0.0,0,0.0,0,0,0,0,4ac5a957ae3b412258e4405fac78dd7bf0d6008f3a6c1abfa13f9f48090bbb9e
SELECT * FROM `sys` . `statements_with_errors_or_warnings`,*,1,0,0,15765.30,15765.30,15765.30,41,41.0,271,271.0,0,0,41,0,991143312bdb51d3fa47ac1ea87a3be1cc09b8dba3da5424f60a97bbe2800321
SHOW PLUGINS,*,11,0,0,14847.20,2160.90,1349.70,528,48.0,528,48.0,11,11,0,0,8181054918915fc138d84fa7a6901fadcd699767bc70fb4090001619a68dd04b
"CREATE TABLE `order_items` ( `customer_id` INT8 , `customer_name` TEXT , `email` TEXT , `join_date` DATETIME )",,1,0,0,14340.30,14340.30,14340.30,0,0.0,0,0.0,0,0,0,0,3f30c17737ede66a5d9345993dc0e89ca5dbbb83249e31c9685de8e1c243d2b7
SHOW INDEXES FROM `shopeaze` . `inventory`,,4,0,0,13841.90,3903.00,3460.40,0,0.0,52,13.0,4,0,0,0,4863e6085e25651edaa6d1347c3836162c2fb4b1eb4ee2a7c1c7047404f88a7f
ALTER TABLE `products` RENAME COLUMN `product_id` TO `id`,,1,0,0,13609.80,13609.80,13609.80,0,0.0,0,0.0,0,0,0,0,52b0dff363219a890f4716783517dbcf57b418a2f24e7d0b6004b12287794162
SHOW FUNCTION STATUS WHERE `Db` = ?,,8,0,0,13190.00,2807.40,1648.70,0,0.0,16,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
SHOW INDEXES FROM `shopeaze` . `customer`,,3,0,0,13100.10,8772.20,4366.70,0,0.0,36,12.0,3,0,0,0,39b63accc7a6bda035092fb5e5fec21d2f5f0c66ddda53aa1e7dfbf22bf5255a
"INSERT INTO `customer` ( `customer_id` , `customer_name` , `email` , `join_date` ) VALUES (...) /* , ... */",,6,0,0,13001.80,4334.10,2166.90,0,0.0,0,0.0,0,0,0,0,ea9bdf1c0e299b5cb4bc673c4bb4dcee6657f42a32b16bb4e6529eb72a8e5fa9
SELECT `st` . * FROM `performance_schema` . `events_stages_history_long` `st` WHERE `st` . `nesting_event_id` = ?,*,47,0,0,12143.60,1227.20,258.30,0,0.0,0,0.0,0,0,0,0,38ab808b1a73a9d4a0cd3dd87d741ef210a26d49ad8f262c92173ac348672be3
"INSERT INTO `orders` ( `order_id` , `Cutomer_id` , `order_date` , `product_id` , `quantity` , `order_sum` , YEAR , SQL_TSI_MONTH , SQL_TSI_DAY ) VALUES (...) /* , ... */",,1,0,0,12118.70,12118.70,12118.70,0,0.0,0,0.0,0,0,0,0,4cce5dbbd34650b7ad15e89498f0d52b6aeb6528df15612e70c6d8b9a02b79c0
SELECT `st` . * FROM `performance_schema` . `events_waits_history_long` `st` WHERE `st` . `nesting_event_id` = ?,*,47,0,0,12036.50,2376.80,256.00,0,0.0,0,0.0,0,0,0,0,e2d8fd23be9b829c53381c11c053388a27bacc090dbe669b724641065e50b6c9
SELECT * FROM `sys` . `statements_with_sorting`,*,1,0,0,11901.60,11901.60,11901.60,49,49.0,280,280.0,0,0,49,0,be54684bb3d63c40638ad357f970354e7d87925d4cbc85d967c865f353312121
"SELECT `o` . `customer_id` , `c` . `customer_name` , `o` . `order_date` , `o` . `order_sum` , AVG ( `o` . `order_sum` ) OVER ( PARTITION BY `o` . `customer_id` ) AS `avg_order_value` FROM `orders` `o` JOIN `customer` `c` ON `o` . `customer_id` = `c` . `id` ORDER BY `o` . `customer_id` , `o` . `order_date`",*,2,0,0,11882.30,6734.90,5941.10,1140,570.0,4560,2280.0,4,0,2280,0,f7ce5abd456edab064b8af4b686137e83d198bc943753e6fcf6855e72aab51b3
SHOW FULL FIELDS FROM `shopeaze` . `orders`,,4,0,0,11726.30,5075.70,2931.50,36,9.0,168,42.0,4,0,36,0,ae19430737e44dccbb2169346f9cbcee78a0a5a78b70e29a5be0a58a7d8847d1
SHOW FULL FIELDS FROM `shopeaze` . `products.csv`,,4,0,0,11232.00,4908.10,2808.00,16,4.0,88,22.0,4,0,16,0,6b988130660351939c42833f3093a88adcc4a0f90e29612ac991f3abed2f03be
SHOW FULL FIELDS FROM `shopeaze` . `order_items`,,4,0,0,10524.40,4554.20,2631.10,16,4.0,88,22.0,4,0,16,0,d0f4fbdb53ea85f1e3bd888c2f95296a4e7c82cd8a2a4f71b522b8cae1a282ed
SHOW FULL FIELDS FROM `shopeaze` . `inventory`,,4,0,0,10417.00,4126.00,2604.20,20,5.0,104,26.0,4,0,20,0,d00eb53197cb3bc609e0bd30f7adc582a2e47713a68a6e0c4aa29479803a1205
SHOW SESSION STATUS LIKE ?,*,8,0,0,10114.00,1893.80,1264.20,8,1.0,8,1.0,8,0,0,0,a6d9f012d38e1935c116c75354d30af403211c7d7a130d43e103838581b78717
EXPLAIN `shopeaze` . `inventory`,,9,1,0,9987.20,2007.60,1109.60,38,4.0,200,22.0,8,0,38,0,190010db899c7b66def581c39a76d48a485b6a06ab20e05a484c7d965c0abffa
"SELECT `ROUTINE_TYPE` AS ? , `ROUTINE_CATALOG` AS ? , `ROUTINE_SCHEMA` AS ? , `ROUTINE_NAME` AS ? FROM `information_schema` . `routines` WHERE `routine_schema` = ?",,1,0,0,8873.70,8873.70,8873.70,0,0.0,2,2.0,0,0,0,0,96cb7af396f16e967a35426bb13cb16857ac491cee2e09ef576c6e33f99c4ded
"SELECT SUM ( `order_sum` ) , `order_date` , `product_id` FROM `orders` WHERE `order_date` LIKE ? && `product_id` GROUP BY `product_id` , `order_date` ORDER BY SUM ( `order_sum` ) DESC LIMIT ?, ...",*,4,0,4,8851.20,3513.90,2212.80,352,88.0,2632,658.0,4,0,352,0,9aabeae453693f2250f899a7054bac216d53592b741117022a6b3cc58e6510ee
EXPLAIN `shopeaze` . `order_items`,,9,1,0,8642.10,1355.30,960.20,32,4.0,176,20.0,8,0,32,0,e30a471ae557f3b43e4df4181ffd2e51dcc6e055018bf9f84f39ea6ba24fc755
SHOW SCHEMAS,*,9,0,0,8626.60,1122.10,958.50,72,8.0,297,33.0,0,0,72,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
SHOW FULL TABLES FROM `sys` WHERE `Table_type` = ?,,3,0,0,8489.80,4298.40,2829.90,300,100.0,609,203.0,0,0,300,0,ac1d8a79e2dc1200a392dbd561459fc33904552ced93aaa795f0dca54d4f8c2a
EXPLAIN `shopeaze` . `orders`,,9,1,0,7895.60,1182.10,877.20,62,7.0,296,33.0,8,0,62,0,a8efef21d309afc5980ed6c4a7fef87257fe1d1c613c9146bc4b4205a333fd26
"SELECT `p` . `category` , `p` . `product_name` , `o` . `order_date` , `o` . `order_sum` , SUM ( `o` . `order_sum` ) OVER ( PARTITION BY `p` . `category` ORDER BY `o` . `order_date` ) AS `running_total` FROM `orders` `o` JOIN `products` `p` ON `o` . `product_id` = `p` . `id` ORDER BY `p` . `category` , `o` . `order_date`",*,1,0,0,7555.30,7555.30,7555.30,570,570.0,2280,2280.0,2,0,1140,0,fc2553e02260bfef8e3c8a0ca614b9702acf67c3529b0949b2aaeb9b6c3c25aa
SHOW TRIGGERS FROM `shopeaze` LIKE ?,*,3,0,0,7535.80,4731.90,2511.90,0,0.0,150,50.0,3,0,0,0,88de319554638ebe251fc3d7f9d0fdd9b18eb1e468f6b93038d7d91ce50ae806
"SELECT `TABLE_COMMENT` ? , TABLE_NAME ? , `TABLE_ROWS` ? , `AUTO_INCREMENT` ? , ROW_FORMAT ? , `DATA_LENGTH` ? , `INDEX_LENGTH` ? , `TABLE_COLLATION` ? , `TABLE_TYPE` ? , `ENGINE` ENGINE FROM `information_schema` . `TABLES` WHERE `TABLE_SCHEMA` = ? AND `TABLE_TYPE` != ? ORDER BY TABLE_NAME",,5,0,0,7497.40,2268.20,1499.40,0,0.0,10,2.0,0,0,0,0,104b2eda49e801dc52d5b580acce9c6c936000f8429e7d812d3998e5e8832c29
SHOW INDEX FROM `shopeaze` . `orders`,,6,0,0,7099.20,1500.70,1183.20,2,0.0,109,18.0,6,0,2,0,2edd5cd3b8e6501b287d07d73e793f5413f8a67de69e83328cf57483d9885b37
